May 29 04:50:23.518 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5516.805109ms, 292082.258751ms, Xm: 654, a: 0.754738, r: 0.265000
May 29 04:50:27.744 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5482.983566ms, 286987.756382ms, Xm: 654, a: 0.756920, r: 0.267000
May 29 04:50:44.264 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5509.389989ms, 290960.333881ms, Xm: 654, a: 0.755214, r: 0.266000
May 29 04:50:54.327 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5488.314314ms, 287786.852341ms, Xm: 654, a: 0.756575, r: 0.267000
May 29 04:51:21.576 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5501.423864ms, 280115.762919ms, Xm: 666, a: 0.762235, r: 0.268000
May 29 04:51:21.576 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5484.064813ms, 277594.118727ms, Xm: 666, a: 0.763377, r: 0.268000
May 29 04:56:39.007 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5501.063639ms, 222847.331998ms, Xm: 753, a: 0.809319, r: 0.268000
May 29 04:56:42.517 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5493.854847ms, 222012.757827ms, Xm: 753, a: 0.809853, r: 0.268000
May 29 04:56:49.945 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5500.678630ms, 222802.707420ms, Xm: 753, a: 0.809348, r: 0.269000
May 29 04:56:52.041 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5494.655459ms, 222105.345544ms, Xm: 753, a: 0.809794, r: 0.269000
May 29 04:56:54.195 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5506.795592ms, 223512.384507ms, Xm: 753, a: 0.808896, r: 0.268000
May 29 04:56:55.351 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5492.068207ms, 221806.230374ms, Xm: 753, a: 0.809986, r: 0.268000
May 29 04:57:08.033 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5517.727080ms, 224784.291784ms, Xm: 753, a: 0.808090, r: 0.267000
May 29 04:57:45.212 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5491.663644ms, 221759.482134ms, Xm: 753, a: 0.810016, r: 0.266000
May 29 04:57:49.973 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5510.403757ms, 223931.684937ms, Xm: 753, a: 0.808630, r: 0.264000
May 29 04:57:56.932 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5493.565268ms, 221979.275372ms, Xm: 753, a: 0.809875, r: 0.264000
May 29 04:58:07.428 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5527.946087ms, 225977.549426ms, Xm: 753, a: 0.807340, r: 0.264000
May 29 05:03:08.266 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5490.264965ms, 257942.942820ms, Xm: 694, a: 0.778160, r: 0.261000
May 29 05:19:22.470 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4492.193106ms, 144501.949783ms, Xm: 696, a: 0.863087, r: 0.301000
May 29 05:21:38.817 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4513.272077ms, 127434.330942ms, Xm: 750, a: 0.896770, r: 0.311000
