Aug 29 17:11:02.852 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:02.852 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:02.853 [debug] read_to_chunk(): Read 17 bytes. 17 on inbuf.
Aug 29 17:11:02.896 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:02.896 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:02.897 [debug] read_to_chunk(): Read 17 bytes. 17 on inbuf.
Aug 29 17:11:02.946 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:02.948 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:02.956 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:02.957 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:02.957 [debug] read_to_chunk(): Read 69 bytes. 69 on inbuf.
Aug 29 17:11:03.147 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:03.147 [debug] read_to_chunk(): Read 24 bytes. 63 on inbuf.
Aug 29 17:11:03.148 [debug] read_to_chunk(): Encountered eof on fd 21
Aug 29 17:11:03.153 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:03.154 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:03.154 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:03.155 [debug] read_to_chunk(): Read 24 bytes. 24 on inbuf.
Aug 29 17:11:03.155 [debug] read_to_chunk(): Encountered eof on fd 18
Aug 29 17:11:03.263 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:03.263 [debug] read_to_chunk(): Read 24 bytes. 24 on inbuf.
Aug 29 17:11:03.263 [debug] read_to_chunk(): Encountered eof on fd 16
Aug 29 17:11:03.275 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:03.275 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:03.275 [debug] read_to_chunk(): Read 17 bytes. 17 on inbuf.
Aug 29 17:11:03.287 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:03.317 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:03.317 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:03.324 [debug] read_to_chunk(): Read 24 bytes. 24 on inbuf.
Aug 29 17:11:03.324 [debug] read_to_chunk(): Encountered eof on fd 22
Aug 29 17:11:03.324 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:03.325 [debug] read_to_chunk(): Read 413 bytes. 413 on inbuf.
Aug 29 17:11:03.325 [debug] read_to_chunk(): Read 413 bytes. 413 on inbuf.
Aug 29 17:11:03.344 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:03.345 [debug] read_to_chunk(): Read 506 bytes. 506 on inbuf.
Aug 29 17:11:03.354 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:03.355 [debug] read_to_chunk(): Read 506 bytes. 506 on inbuf.
Aug 29 17:11:03.413 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:03.414 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:03.414 [debug] read_to_chunk(): Read 69 bytes. 69 on inbuf.
Aug 29 17:11:03.439 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:03.440 [debug] read_to_chunk(): Read 24 bytes. 24 on inbuf.
Aug 29 17:11:03.440 [debug] read_to_chunk(): Encountered eof on fd 23
Aug 29 17:11:03.832 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:03.833 [debug] read_to_chunk(): Read 412 bytes. 412 on inbuf.
Aug 29 17:11:03.836 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:03.836 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:03.836 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:03.837 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:03.837 [debug] read_to_chunk(): Read 430 bytes. 430 on inbuf.
Aug 29 17:11:03.837 [debug] read_to_chunk(): Read 434 bytes. 434 on inbuf.
Aug 29 17:11:03.890 [debug] read_to_chunk(): Read 89 bytes. 89 on inbuf.
Aug 29 17:11:03.890 [debug] read_to_chunk(): Read 111 bytes. 111 on inbuf.
Aug 29 17:11:03.963 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:03.963 [debug] read_to_chunk(): Read 24 bytes. 63 on inbuf.
Aug 29 17:11:03.963 [debug] read_to_chunk(): Encountered eof on fd 27
Aug 29 17:11:03.994 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:03.994 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:03.995 [debug] read_to_chunk(): Read 69 bytes. 69 on inbuf.
Aug 29 17:11:04.089 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:04.089 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:04.089 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:04.089 [debug] read_to_chunk(): Read 23 bytes. 23 on inbuf.
Aug 29 17:11:04.089 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:04.089 [debug] read_to_chunk(): Read 23 bytes. 23 on inbuf.
Aug 29 17:11:04.140 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:04.140 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:04.141 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:04.141 [debug] read_to_chunk(): Read 170 bytes. 170 on inbuf.
Aug 29 17:11:04.141 [debug] read_to_chunk(): Read 247 bytes. 417 on inbuf.
Aug 29 17:11:04.187 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:04.188 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:04.188 [debug] read_to_chunk(): Read 22 bytes. 22 on inbuf.
Aug 29 17:11:04.204 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:04.268 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:04.269 [debug] read_to_chunk(): Read 24 bytes. 24 on inbuf.
Aug 29 17:11:04.269 [debug] read_to_chunk(): Encountered eof on fd 25
Aug 29 17:11:04.710 [debug] read_to_chunk(): Read 72 bytes. 72 on inbuf.
Aug 29 17:11:04.832 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:04.835 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:04.837 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:04.843 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:04.843 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:04.843 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:04.843 [debug] read_to_chunk(): Read 27 bytes. 27 on inbuf.
Aug 29 17:11:04.843 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:04.844 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:04.844 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:04.844 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:04.844 [debug] read_to_chunk(): Read 27 bytes. 27 on inbuf.
Aug 29 17:11:04.844 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:04.844 [debug] read_to_chunk(): Read 27 bytes. 27 on inbuf.
Aug 29 17:11:04.844 [debug] read_to_chunk(): Read 27 bytes. 27 on inbuf.
Aug 29 17:11:04.985 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:04.985 [debug] read_to_chunk(): Read 416 bytes. 416 on inbuf.
Aug 29 17:11:05.048 [debug] read_to_chunk(): Read 173 bytes. 173 on inbuf.
Aug 29 17:11:05.132 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:05.365 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:05.365 [debug] read_to_chunk(): Read 80 bytes. 80 on inbuf.
Aug 29 17:11:05.367 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:05.368 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:05.369 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:05.370 [debug] read_to_chunk(): Read 429 bytes. 429 on inbuf.
Aug 29 17:11:05.374 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:05.374 [debug] read_to_chunk(): Read 474 bytes. 474 on inbuf.
Aug 29 17:11:05.374 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:05.374 [debug] read_to_chunk(): Read 494 bytes. 494 on inbuf.
Aug 29 17:11:05.543 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:05.641 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:05.678 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:05.702 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:05.705 [debug] read_to_chunk(): Read 170 bytes. 170 on inbuf.
Aug 29 17:11:05.710 [debug] read_to_chunk(): Read 413 bytes. 413 on inbuf.
Aug 29 17:11:05.710 [debug] read_to_chunk(): Read 413 bytes. 413 on inbuf.
Aug 29 17:11:05.711 [debug] read_to_chunk(): Read 413 bytes. 413 on inbuf.
Aug 29 17:11:05.766 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:05.767 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:05.767 [debug] read_to_chunk(): Read 17 bytes. 17 on inbuf.
Aug 29 17:11:05.813 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:05.813 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:05.813 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:05.813 [debug] read_to_chunk(): Read 69 bytes. 69 on inbuf.
Aug 29 17:11:06.036 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:06.037 [debug] read_to_chunk(): Read 24 bytes. 24 on inbuf.
Aug 29 17:11:06.037 [debug] read_to_chunk(): Encountered eof on fd 23
Aug 29 17:11:06.102 [debug] read_to_chunk(): Read 413 bytes. 413 on inbuf.
Aug 29 17:11:06.104 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:06.104 [debug] read_to_chunk(): Read 456 bytes. 456 on inbuf.
Aug 29 17:11:06.215 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:06.581 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:06.660 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:06.660 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:06.660 [debug] read_to_chunk(): Read 445 bytes. 445 on inbuf.
Aug 29 17:11:06.661 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:06.661 [debug] read_to_chunk(): Read 472 bytes. 472 on inbuf.
Aug 29 17:11:06.661 [debug] read_to_chunk(): Read 453 bytes. 453 on inbuf.
Aug 29 17:11:06.669 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:06.975 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:07.058 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:07.061 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:07.062 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:07.062 [debug] read_to_chunk(): Read 63 bytes. 63 on inbuf.
Aug 29 17:11:07.062 [debug] read_to_chunk(): Encountered eof on fd 34
Aug 29 17:11:07.062 [debug] read_to_chunk(): Read 24 bytes. 24 on inbuf.
Aug 29 17:11:07.062 [debug] read_to_chunk(): Encountered eof on fd 33
Aug 29 17:11:07.294 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:07.294 [debug] read_to_chunk(): Read 24 bytes. 24 on inbuf.
Aug 29 17:11:07.294 [debug] read_to_chunk(): Encountered eof on fd 32
Aug 29 17:11:07.324 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:07.324 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:07.324 [debug] read_to_chunk(): Read 24 bytes. 24 on inbuf.
Aug 29 17:11:07.332 [debug] read_to_chunk(): Read 124 bytes. 124 on inbuf.
